capacity,passes,packet,minimum,maximum,mean,checksum,latency_seconds
1,1,0,0.0007566508986641685,0.9998425341863091,0.5001763714616793,131118.23472045045,0.0022596000001158245
1,1,1,0.0011657494866106344,0.999756707247357,0.4990702582868236,130828.27378834109,0.0030074000001150125
1,1,2,2.9796595638953427e-05,0.9998525984804234,0.5004813402991097,131198.18047136982,0.0036571000000549247
1,1,3,0.0009114838368662337,0.9999118696870084,0.5005084693253353,131205.2921828207,0.0037339000000429223
1,1,4,3.117621861836728e-05,0.9997688155104851,0.4996029782160507,130967.9231214684,0.00370029999999133
1,1,5,0.0003103574461580383,0.99991969726005,0.4998554334265525,131034.10274017017,0.003788999999869702
1,1,6,0.00017701536346825808,0.9991300960091084,0.49934838691173866,130901.18353859082,0.003795900000113761
1,1,7,6.599003650487045e-05,0.9995160928966768,0.5006235873343421,131235.46967817377,0.003824200000053679
1,1,8,0.000398023133271197,0.9998253959138579,0.49971969872352706,130998.52070218028,0.003732200000058583
1,1,9,8.755079492217543e-05,0.9995922729630969,0.5001059918658617,131099.78513168445,0.0036846000000423373
1,1,10,0.0007550117964409964,0.9996659189668389,0.499367204166983,130906.11636914959,0.003716599999961545
1,1,11,5.9802087896132505e-06,0.9997980132879609,0.49981062286788014,131022.35592107757,0.004338599999982762
1,1,12,0.00025424645077154473,0.9997668007162192,0.49946555412787985,130931.89822129894,0.004165800000009767
1,1,13,0.0005102255312807724,0.9991496081641147,0.49938611499742613,130911.07372988528,0.004168599999957223
1,1,14,0.0002243813072368983,0.9989427184615743,0.5000695174470935,131090.22358165088,0.003950300000042262
1,1,15,0.00020361610441677058,0.9995399191741402,0.5004975958479323,131202.44176596036,0.003795900000113761
1,1,16,0.001242765421564207,0.9990861723717235,0.5004721041048316,131195.75925845696,0.003854400000136593
1,1,17,0.00021801420877520794,0.9994834348453531,0.4998688427381809,131037.61791075769,0.003964100000075632
1,1,18,8.565769149504465e-05,0.9995954518846987,0.5004789829250615,131197.56249990733,0.004257399999914924
1,1,19,0.0006437432225385731,0.9999208928337141,0.5000141617968925,131075.7124300846,0.0042384999999285355
1,1,20,4.6488651818776816e-05,0.9995390610051176,0.4995160824139807,130945.14390833056,0.004159600000093633
1,1,21,0.00015759709386165,0.9991455392695751,0.49998893746952205,131069.10002401039,0.004048100000090926
1,1,22,0.00010615205273090123,0.9996325338690376,0.501902183059464,131570.64587594013,0.003921300000001793
1,1,23,0.0010775693984205192,0.9972973737851843,0.4994203230537333,130920.04116659786,0.003930999999965934
1,1,24,0.00017087969164675254,0.9995607110020525,0.4990012935737731,130810.19510260317,0.0037137000001621345
1,1,25,0.0008166723342507565,0.9998348342305997,0.5000610267417328,131087.9977941848,0.003695599999900878
1,1,26,0.0008152038585096388,0.9999473441012497,0.4996151187855775,130971.10569892643,0.0037290000000211876
1,1,27,0.0007255803793245752,0.9983212846267786,0.4998725891383136,131038.60000707408,0.00368520000006356
1,1,28,0.0006939640559268101,0.9995602618908875,0.5003961448023827,131175.8469830758,0.0037247000000206754
1,1,29,0.00018995007180022672,0.9998065985046263,0.49980222178947203,131020.15362877936,0.0036138000000391912
1,1,30,0.0002974952951080301,0.9994126422251938,0.49955428987896716,130955.15976603197,0.003797300000087489
1,1,31,0.0009765917235995403,0.9981859774492242,0.49998297121584573,131067.53600640666,0.003660200000012992
1,1,32,0.0013625514646848913,0.9988080185005226,0.5000509515189431,131085.3566349818,0.003775900000164256
1,1,33,0.0009439487829167037,0.9999070666533418,0.4999502580600344,131058.96044888966,0.004119100000025355
1,1,34,0.0002893317713431598,0.9999175457255288,0.4994313449883016,130922.93050061334,0.003947800000105417
1,1,35,0.0019582033332165016,0.9994259527562568,0.5001299007264689,131106.05269603946,0.003939299999956347
1,1,36,0.0008066349789149774,0.9998647874167906,0.5000369899049341,131081.69668163903,0.003715700000157085
1,1,37,0.0007862183904112641,0.9997804518265705,0.4992938141653562,130886.87762056313,0.003738299999895389
1,1,38,5.4156355266621325e-05,0.9973351563385293,0.5001130362095173,131101.6317641077,0.0037480999999388587
1,1,39,0.0001907394734222967,0.9986859768218841,0.5004076229152967,131178.85590150754,0.003673700000035751
1,1,40,0.00027120331856156366,0.9997283562185454,0.49975059052905224,131006.61880364787,0.003726700000015626
1,1,41,0.0004373186415944641,0.9988346380839374,0.4992521000363627,130875.94251193227,0.0038466999999400286
1,1,42,0.0002020253160815999,0.9998105278743888,0.4998538726905136,131033.693602582,0.0037543999999343214
1,1,43,0.0008939162692150893,0.9985230833159523,0.5011440518333147,131371.90632379244,0.0037033000000974425
1,1,44,0.0002995220609574023,0.9995922390364563,0.49947067061365347,130933.23947734557,0.00364650000005895
1,1,45,0.00030852747423726345,0.9999747167061872,0.500788508034563,131278.70265021248,0.0037094000001616223
1,1,46,0.0007538141240557295,0.999338138773118,0.5005239346243748,131209.34631817212,0.0037666999999146356
1,1,47,0.0008326771068395411,0.9993788791253696,0.5004163554698112,131181.1450882782,0.0035790999997971085
1,4,0,0.0007566508986641685,0.9998425341863091,0.5001483263965067,131110.88287488587,0.003567299999986062
1,4,1,0.0011657494866106344,0.999756707247357,0.4990974577299897,130835.40395917042,0.00607680000007349
1,4,2,2.9796595638953427e-05,0.9998525984804234,0.5004847142731865,131199.0649384302,0.008354999999937718
1,4,3,0.0009114838368662337,0.9999118696870084,0.5004782401823329,131197.36779435747,0.008588599999939106
1,4,4,3.117621861836728e-05,0.9997688155104851,0.4996363790721609,130976.67895549255,0.008776599999919199
1,4,5,0.0003103574461580383,0.99991969726005,0.4998223976297283,131025.4426042475,0.008773000000019238
1,4,6,0.00017701536346825808,0.9991300960091084,0.49933227462580765,130896.95979950772,0.00885999999991327
1,4,7,6.599003650487045e-05,0.9995160928966768,0.5006034453696881,131230.18958299153,0.00886520000017299
1,4,8,0.000398023133271197,0.9998253959138579,0.4997393178048301,131003.66372662938,0.008747500000026776
1,4,9,8.755079492217543e-05,0.9995922729630969,0.500165977837166,131115.51009414604,0.008630799999991723
1,4,10,0.0007550117964409964,0.9996659189668389,0.49936218810204774,130904.8014378232,0.009176399999887508
1,4,11,5.9802087896132505e-06,0.9997980132879609,0.4998013009099027,131019.91222572554,0.009089700000004086
1,4,12,0.00025424645077154473,0.9997668007162192,0.4994536298196734,130928.77233544846,0.008993200000077195
1,4,13,0.0005102255312807724,0.9991496081641147,0.4993877148516231,130911.49312206388,0.008420999999998457
1,4,14,0.0002243813072368983,0.9989427184615743,0.5000693827622518,131090.18827482773,0.008008099999869955
1,4,15,0.00020361610441677058,0.9995399191741402,0.5004609306683778,131192.83020913124,0.008290900000019974
1,4,16,0.001242765421564207,0.9990861723717235,0.5004812742802546,131198.16316492305,0.00861310000004778
1,4,17,0.00021801420877520794,0.9994834348453531,0.49980003049546934,131019.57919420431,0.008577399999921909
1,4,18,8.565769149504465e-05,0.9995954518846987,0.5005074055642411,131205.01332423242,0.008512699999982942
1,4,19,0.0006437432225385731,0.9999208928337141,0.4999644017079889,131062.66812133904,0.008382400000073176
1,4,20,4.6488651818776816e-05,0.9995390610051176,0.4995018930228528,130941.42424458273,0.008277200000065932
1,4,21,0.00015759709386165,0.9991455392695751,0.499990528029707,131069.51697981951,0.007892600000104721
1,4,22,0.00010615205273090123,0.9996325338690376,0.5019077035839107,131572.09304830068,0.007801200000130848
1,4,23,0.0010775693984205192,0.9972973737851843,0.4993905135796337,130912.2267918195,0.00783089999981712
1,4,24,0.00017087969164675254,0.9995607110020525,0.49903606841825254,130819.3111194344,0.0077880000001187
1,4,25,0.0008166723342507565,0.9998348342305997,0.5000438489958439,131083.4947511665,0.007789200000161145
1,4,26,0.0008152038585096388,0.9999473441012497,0.4996567785975381,130982.02656867303,0.008014199999934135
1,4,27,0.0007255803793245752,0.9983212846267786,0.4999232715334281,131051.88609285897,0.008038799999894763
1,4,28,0.0006939640559268101,0.9995602618908875,0.5004149994979022,131180.7896283781,0.00845290000006571
1,4,29,0.00018995007180022672,0.9998065985046263,0.4997419189099767,131004.34559073694,0.008271499999864318
1,4,30,0.0002974952951080301,0.9994126422251938,0.49957729415369617,130961.19019862653,0.0081571000000622
1,4,31,0.0009765917235995403,0.9981859774492242,0.49997278828002456,131064.86661087876,0.008154000000104134
1,4,32,0.0013625514646848913,0.9988080185005226,0.5000569291945438,131086.9236467745,0.00808510000001661
1,4,33,0.0009439487829167037,0.9999070666533418,0.4999444993065323,131057.4508262116,0.008408200000076249
